"날짜","종목코드","종목명","급등 사유","등락"
"2013-01-22","","","모바일 사업부문 분할 결정 및 인수합병(M&A)설",""
"2013-01-22","","","비타민C 발모 촉진제 개발 소식",""
"2013-01-22","","","9.99억원 규모 BW 발행 결정",""
"2013-01-22","","","충청북도가 오송지역에 9조원을 투입해 바이오밸리를 조성한다는 소식에 관련주로 언급되며 상한가",""
"2013-01-22","","","자회사인 라이프리버가 “성체줄기세포를 이용해 인체 간세포를 대량으로 생산할 수 있는 기술”에 대한 특허를 취득했다는 소식",""
"2013-01-22","","","경영권 분쟁 재점화 소식 및 치매 예방/치료용 조성물 관련 특허권 취득",""
"2013-01-22","","","수도권 광역급행철도 순차적 착공 기대감에 일부 철도/대심도철도(GTX) 관련주 상승",""
"2013-01-22","","","윤석금 회장의 사재출연 소식",""
"2013-01-22","","","수도권 광역급행철도 순차적 착공 기대감에 일부 철도/대심도철도(GTX) 관련주 상승",""
"2013-01-22","","","자회사인 라이프리버가 “성체줄기세포를 이용해 인체 간세포를 대량으로 생산할 수 있는 기술”에 대한 특허를 취득했다는 소식",""
"2013-01-22","","","자회사 합병 소식",""
"2013-01-22","","","수도권 광역급행철도 순차적 착공 기대감에 일부 철도/대심도철도(GTX) 관련주 상승",""
"2013-01-23","","","자회사 합병 소식",""
"2013-01-23","","","SOFC 스택 관련 2건의 특허권 취득 및 북한의 한반도 비핵화 포기선언에 일부 전쟁 및 테러/방위산업 관련주 상승",""
"2013-01-23","","","올해 SSD(솔리드 스테이트 드라이브) 시장이 100억달러(약 11조4,000억원) 규모로 성장할 것이란 전망에 SSD 스토리지 등의 제품을 생산하고 있는 동사의 주가가 상한가를 기록",""
"2013-01-23","","","“소뼈유래치과용 골이식재(OCS-B)” 美 FDA 허가 획득 소식",""
"2013-01-23","","","최대주주 변경을 수반하는 주식양수도 계약 체결",""
"2013-01-24","","","자회사 합병 소식",""
"2013-01-24","","","북한의 핵실험 발언에 일부 전쟁 및 테러/방위산업 관련주 상승",""
"2013-01-24","","","김용준 대통령직 인수위원장이 새 정부 첫 총리에 지명됐다는 소식에 관련주로 언급되며 상한가",""
"2013-01-24","","","김용준 대통령직 인수위원장이 새 정부 첫 총리에 지명됐다는 소식에 관련주로 언급되며 상한가",""
"2013-01-24","","","김용준 대통령직 인수위원장이 새 정부 첫 총리에 지명됐다는 소식에 관련주로 언급되며 상한가",""
"2013-01-24","","","우리금융지주가 동사의 우리금융그룹 편입 여부를 검토중",""
"2013-01-24","","","美 AT&T가 국내 스마트폰 제조업체에 무선충전 솔루션 탑재를 요구했다는 소식에 일부 무선충전기술 관련주 상승",""
"2013-01-25","","","우리금융지주가 동사의 우리금융그룹 편입 여부를 검토중",""
"2013-01-25","","","김용준 대통령직 인수위원장이 새 정부 첫 총리에 지명됐다는 소식에 관련주로 언급되며 이틀째 상한가",""
"2013-01-25","","","편의점 알뜰폰 판매소식에 일부 MVNO(가상이동통신망사업자) 관련주 상승",""
"2013-01-25","","","편의점 알뜰폰 판매소식에 일부 MVNO(가상이동통신망사업자) 관련주 상승",""
"2013-01-28","","","우리금융지주가 동사의 우리금융그룹 편입 여부를 검토중",""
"2013-01-28","","","북한의 3차 핵실험 우려에 전쟁 및 테러/ 방위산업관련주 상승",""
"2013-01-28","","","제2의 벤처 창업 붐 조성을 위한 제도 개선 기대감에 창투사 관련주 급등",""
"2013-01-28","","","제2의 벤처 창업 붐 조성을 위한 제도 개선 기대감에 창투사 관련주 급등",""
"2013-01-28","","","제2의 벤처 창업 붐 조성을 위한 제도 개선 기대감에 창투사 관련주 급등",""
"2013-01-28","","","제2의 벤처 창업 붐 조성을 위한 제도 개선 기대감에 창투사 관련주 급등",""
"2013-01-28","","","제2의 벤처 창업 붐 조성을 위한 제도 개선 기대감에 창투사 관련주 급등",""
"2013-01-28","","","연 60만톤(약 660억원) 규모 유연탄 공급권 확보 소식",""
"2013-01-28","","","제2의 벤처 창업 붐 조성을 위한 제도 개선 기대감에 창투사 관련주 급등",""
"2013-01-28","","","북한의 3차 핵실험 우려에 전쟁 및 테러/ 방위산업관련주 상승",""
"2013-01-29","","","신규상장 첫날 상한가",""
"2013-01-30","","","동양그룹주 급등",""
"2013-01-30","","","한국지엠 SUV 신차 범퍼 생산 본격화 소식",""
"2013-01-30","","","동양그룹주 급등",""
"2013-01-30","","","공개매각 추진 소식",""
"2013-01-30","","","지난해 영업이익 및 순이익 흑자전환",""
"2013-01-30","","","삼성전자로의 피인수 기대감",""
"2013-01-30","","","최대주주 변경을 수반하는 주식매매 계약 체결",""
"2013-01-30","","","박근혜 대통령 당선인의 “정부3.0” 발언 소식에 일부 클라우드 컴퓨팅 관련주 상승",""
"2013-01-31","","","공개매각 추진 소식",""
"2013-01-31","","","한국 최초 우주발사체 나로호 발사 성공 소식에 우주항공산업/한국형 우주발사체 관련주 급등",""
"2013-01-31","","","한국 최초 우주발사체 나로호 발사 성공 소식에 우주항공산업/한국형 우주발사체 관련주 급등",""
"2013-01-31","","","한국 최초 우주발사체 나로호 발사 성공 소식에 우주항공산업/한국형 우주발사체 관련주 급등",""
"2013-01-31","","","한국 최초 우주발사체 나로호 발사 성공 소식에 우주항공산업/한국형 우주발사체 관련주 급등",""
"2013-01-31","","","한국 최초 우주발사체 나로호 발사 성공 소식에 우주항공산업/한국형 우주발사체 관련주 급등",""
"2013-01-31","","","자진 상장폐지를 위해 주당 1,200원에 공개매수를 진행한다는 소식",""
"2013-01-31","","","매각 추진 본격화 기대감",""
"2013-02-01","","","지난해 영업이익 흑자전환 소식",""
"2013-02-04","","","북한의 3차 핵실험 임박 소식에 전쟁 및 테러/방위산업 관련주 상승",""
"2013-02-04","","","日 풍력발전 설비 투자 확대 기대감",""
"2013-02-04","","","MVNO(가상이동통신망사업자) 관련주 상승",""
"2013-02-04","","","MVNO(가상이동통신망사업자) 관련주 상승",""
"2013-02-04","","","국내외 독감(인플루엔자) 확산 소식",""
"2013-02-05","","","북한의 3차 핵실험 임박 소식에 일부 전쟁 및 테러/방위산업 관련주 상승",""
"2013-02-05","","","122억원 규모 유형자산 처분 결정",""
"2013-02-05","","","골형성단백질 상반기 시판 기대감",""
"2013-02-05","","","북한의 3차 핵실험 임박 소식에 일부 전쟁 및 테러/방위산업 관련주 상승",""
"2013-02-05","","","PCB 검사장비 개발 성공 소식",""
"2013-02-05","","","50억원 규모의 제3자 배정방식 유상증자 검토 소식",""
"2013-02-06","","","한국수자원공사 컨소시엄, 태국 물사업 적격예비후보 선정 소식에 수자원 질적/양적 관련주 상승",""
"2013-02-06","","","무선충전기 시장 확대 기대감",""
"2013-02-06","","","중국 국가식품약품감독관리국으로부터 위생 허가를 받았다는 소식",""
"2013-02-06","","","한국수자원공사 컨소시엄, 태국 물사업 적격예비후보 선정 소식에 수자원 질적/양적 관련주 상승",""
"2013-02-07","","","한국수자원공사 컨소시엄, 태국 물사업 적격예비후보 선정 소식에 관련주로 언급되며 상한가를 기록",""
"2013-02-07","","","한국수자원공사 컨소시엄, 태국 물사업 적격예비후보 선정 소식에 관련주로 언급되며 상한가를 기록",""
"2013-02-07","","","한국수자원공사 컨소시엄, 태국 물사업 적격예비후보 선정 소식에 관련주로 언급되며 상한가를 기록",""
"2013-02-07","","","한국수자원공사 컨소시엄, 태국 물사업 적격예비후보 선정 소식에 관련주로 언급되며 상한가를 기록",""
"2013-02-08","","","한국수자원공사 컨소시엄, 태국 물사업 적격예비후보 선정 소식에 관련주로 언급되며 상한가를 기록",""
"2013-02-08","","","한국수자원공사 컨소시엄, 태국 물사업 적격예비후보 선정 소식에 관련주로 언급되며 상한가를 기록",""
"2013-02-08","","","전 최대주주의 지분매각 추진 소식",""
"2013-02-08","","","지난해 영업이익 및 순이익 흑자전환",""
"2013-02-12","","","한국수자원공사 컨소시엄, 태국 물사업 적격예비후보 선정 소식에 관련주로 언급되며 사흘째 상한가",""
"2013-02-12","","","지난해 영업이익 및 순이익 흑자전환",""
"2013-02-12","","","北 핵실험 추정 인공지진 감지 소식에 전쟁 및 테러/방위산업관련주 관련주 동반 상승",""
"2013-02-12","","","모간스탠리PE로의 피인수 소식",""
